smiles,hall,zprime,a,b,c,alpha,beta,gamma,volume
CCN(CC)c1ccc2C=C(C(=O)Oc2c1)c1ccc(cc1)c1ccc(cc1)N(=O)=O,90,1.0,41.51,6.490100000000002,15.233000000000004,90.0,95.43,90.0,4085.416181262233
O=N(=O)c1ccc2c(c1)nc(c(n2)c1ccc(cc1)/C=C/c1ccccc1)c1ccc(cc1)/C=C/c1ccccc1,2,1.0,9.063,9.288,16.849,105.53,92.66,90.26,1364.8346579061072
NN1N=C(C(=C1N(=O)=O)N(=O)=O)N(=O)=O,6,1.0,7.5267,6.9837,8.116499999999998,90.0,112.40899999999999,90.0,394.4204188815457
NC1=N[N+](=NC2=C(C=NN12)N(=O)=O)[O-],81,1.0,14.2592,7.2274,6.757,90.0,93.529,90.0,695.0353077417128
O=CNNc1ccc(cc1)N(=O)=O,143,1.0,10.2828,9.526000000000003,7.9993,90.0,90.0,90.0,783.56305463304
CCOC(=O)C1=C(O[C@@]2(O1)CCCN2C(=O)OC(C)(C)C)c1ccc(cc1)N(=O)=O,82,1.0,8.616000000000001,25.2892,10.139000000000001,90.0,68.373,90.0,2053.6828578279847
O=N(=O)C(C1=NN=C2N1C1=NON=C1N1C2=NN=C1C(N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O,290,1.0,7.0846,23.1684,20.6401,90.0,90.0,90.0,3387.842208534264
CCCCCC(=C=C1CCC[C@]23C1=C([C@H]2OC(O3)(C)C)[C@@]12COC[C@]2(C1)C)c1cccc(c1)N(=O)=O,95,1.0,27.242834473823056,9.6349,21.0377,90.0,76.15879573323153,90.0,5361.671628195422
O=C(c1c(C)cccc1N(=O)=O)OC[C@@H](c1ccc2c(c1)cccc2)OC(=O)c1c(C)cccc1N(=O)=O,115,1.0,7.6683,13.4569,23.0318,90.0,90.0,90.0,2376.6870553813856
O[C@H](c1ccccc1)COC(=O)c1c(C)cccc1N(=O)=O,81,1.0,8.532799999999998,7.503100000000002,22.544799999999995,90.0,97.844,90.0,1429.8681949435052
O=C(c1c(C)cccc1N(=O)=O)OC[C@H](c1ccccc1)OC(=O)c1c(C)cccc1N(=O)=O,2,1.0,7.7197,12.225799999999998,12.5847,106.631,106.569,92.421,1080.8310176575733
OC[C@@H](c1ccc2c(c1)cccc2)OC(=O)c1c(C)cccc1N(=O)=O,6,1.0,7.880899999999999,7.1132,15.342599999999997,90.0,101.14199999999998,90.0,843.8704347633045
O[C@H](c1ccc2c(c1)cccc2)COC(=O)c1c(C)cccc1N(=O)=O,6,1.0,8.0284,13.4508,8.0702,90.0,101.301,90.0,854.5909344938038
CC(=C1[C@@H]2C=C[C@@]3([C@H]1[C@@]3(C2=O)C)N(=O)=O)C,2,1.0,6.718200000000001,6.996300000000001,11.680699999999996,81.817,89.274,77.092,529.5961124058026
NC1=C(C(=O)NN1)N(=O)=O,82,1.0,7.4255,6.8066,10.2377,90.0,79.873,90.0,509.3765522410115
