ccdc_id,Calc. Density,Cell Volume,CHIRAL SMILES,Space Gp. Number
DADYIS,1.237,1365.643,O=C([C@@H]([C@@H](N(=O)=O)C)C1=CC=CN1)OC(C)(C)C,18
DAFBOB,1.388,680.265,O=N(=O)/C=C/1\CCCN1C,14
DAFFUP,1.926,731.356,O=N(=O)C1=NO[N+](=C1C1=NN=C(O1)N=NC1=NN=C(O1)C1=[N+]([O-])ON=C1N(=O)=O)[O-],14
DAFGAS,1.717,1207.475,O=N(=O)C1(N(=O)=O)[C@@H]2[C@@H]3[C@@H]4[C@H]1[C@@H]1[C@H]2[C@H]3[C@H]4C1(N(=O)=O)N(=O)=O,7
DAFHEY,1.328,2118.42,CC(C)(C)OC(=O)C1=C(OCc2ccccc2)C(=O)NC(=N1)c1cccc(c1)N(=O)=O,14
DAFPUV,1.856,930.896,NC1=NON=C1N(=O)=O,33
DAFPUV01,1.841,938.26,NC1=NON=C1N(=O)=O,33
DAFVEP,1.848,2049.79,O=N(=O)NC1=NN/C(=N\N(=O)=O)/C2=C1NC(=N2)N(=O)=O,61
DAFWAI,1.633,1009.721,O=N(=O)[C@]12[C@H]3C[C@H]4[C@]2(N(=O)=O)[C@H]2C[C@@H]1[C@H]1[C@@H]3[C@@H]4[C@@H]21,13
DAFWIQ,1.315,1451.215,C[C@H]1C=C[C@@H]2[C@@H]([C@H]1N(=O)=O)CC[C@@H]2OCc1ccccc1,14
DAGKUS,1.368,1008.235,CC[C@]([C@@H](c1ccccc1)CN(=O)=O)(/C=N/Nc1ccc(cc1N(=O)=O)N(=O)=O)C,2
DAGREJ,1.441,1374.651,O=N(=O)C[C@@H](C(=O)N1C(=O)O[C@@H]2[C@@]31CC[C@H](C3(C)C)C2)O,19
DAGRIN,1.38,1801.606,O=N(=O)[C@@H]([C@@H](C(=O)N1C(=O)O[C@H]2[C@]31CC[C@@H](C3(C)C)C2)O)c1ccccc1,19
DAGROT,1.312,1895.159,O=N(=O)[C@H]([C@H](C(=O)N1C(=O)O[C@H]2[C@]31CC[C@@H](C3(C)C)C2)O)c1ccccc1,19
DAHLAZ,1.345,1191.439,O=N(=O)c1ccc(cc1)N/N=C/c1ccccc1,9
DAHLAZ01,1.335,1200.142,O=N(=O)c1ccc(cc1)N/N=C/c1ccccc1,9
DAJJEF,1.39,1664.957,N#C[C@]1(CC=C[C@H]1c1ccccc1)COC(=O)c1ccc(cc1)N(=O)=O,14
DAJKUW,1.33,1170.058,CC(=O)O[C@H]1C[C@@H]2[C@H](O[C@@H]1COC(=O)C)OC(=N[C@@H]2c1cccc(c1)N(=O)=O)c1ccccc1,4
DAJXOF,1.358,1869.629,C=C[C@H](c1ccc2c(c1)CC2)[C@H](OC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O)C,4
DAJXUH,1.723,1635.353,OC(=O)c1cc(ccc1N(=O)=O)N(=O)=O,15
DAKCIC,1.581,1055.39,CCOC(=O)C1=Nc2ccc(cc2N1O)N(=O)=O,14
DAKDEB,1.76,864.669,CC1=[N+]([O-])ON=C1C1=NO[N+](=C1N(=O)=O)[O-],19
DAKHAB,1.675,1154.534,O=N(=O)C1=[N+]([O-])ON=C1C1=[N+]([O-])ON=C1c1ccccc1,2
DAKHIJ,1.204,1303.563,Cc1ccc2N(Cc3cc(cc(c3OCc3ccc(cc3)N(=O)=O)C(C)(C)C)C(C)(C)C)Cc3cc(C)ccc3N(Cc3cc(cc(c3OCc3ccc(cc3)N(=O)=O)C(C)(C)C)C(C)(C)C)Cc2c1,2
DAKKOS,1.333,1801.179,OCC1(CO)C[C@@H]1C1=C(C)CC[C@H]1C(Oc1ccc(cc1)N(=O)=O)(C)C,14
DAKNIN,1.313,2624.014,C[C@@H]1CC[C@H]([C@@H](C1)OC(=O)OC[C@@H]1C[C@@H]1[C@@H]1C[C@H]1COC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O)C(C)C,19
DALHAA,1.347,2628.107,CC(C)NC(=O)N(C(C)C)c1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,2
DALWOD,1.413,3708.643,CCOC(=O)[C@@H]1C(=O)NC(=O)[C@@H]([C@H]1c1cc(ccc1O)N(=O)=O)C(=O)OCC,15
DAMPCX,1.358,3261.385,CC(=O)C1=C(O)C[C@]([C@@H]([C@H]1c1ccc(cc1)N(=O)=O)C(=O)C)(C)O,61
DANKEJ,1.378,1572.779,CN1CCOCCOCCOCCOc2cc(ccc12)N(=O)=O,14
DAPHEI,1.317,1317.243,O=C(OC(C1CC1)C1CC1)c1ccc(cc1)N(=O)=O,14
DAPHOS,1.491,1185.605,O=C(OCC1CC1)c1cc(cc(c1)N(=O)=O)N(=O)=O,33
DAPHUY,1.385,1060.791,O=C(OCC1CC1)c1ccc(cc1)N(=O)=O,14
DAPJAG,1.376,932.538,O=N(=O)c1ccc(OCC2CC2)cc1,14
DAPJEK,1.431,1421.971,O=C(OC(C1CC1)C1CC1)c1ccc(cc1N(=O)=O)N(=O)=O,14
DAPJOU,1.595,1179.594,O=N(=O)c1cc(c(OCC2CC2)c(c1)N(=O)=O)N(=O)=O,19
DAPPAO,1.776,984.256,CN(CN(C1=NON=C1N(=O)=O)N(=O)=O)N(=O)=O,14
DAPPES,1.94,2986.908,O=N(=O)N(CN(C1=NON=C1N(=O)=O)N(=O)=O)CN(C1=NON=C1N(=O)=O)N(=O)=O,14
DAQWEZ,1.4,3028.946,O=C(NCCN(CCNC(=O)Nc1cccc(c1)N(=O)=O)CCNC(=O)Nc1cccc(c1)N(=O)=O)Nc1cccc(c1)N(=O)=O,2
DARGAF,1.595,1270.799,O=N(=O)c1cc(c(Oc2ccccc2)c(c1)N(=O)=O)N(=O)=O,19
DARGEJ,1.524,726.03,Cc1cccc(C)c1Oc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,2
DARGIN,1.808,1451.939,O=N(=O)c1cc(c(Oc2c(cccc2N(=O)=O)N(=O)=O)c(c1)N(=O)=O)N(=O)=O,14
DARQUJ,1.376,1294.9,O=C1C[C@@H](N1c1ccc(cc1)N(=O)=O)c1ccccc1,14
DARRAQ,1.473,1413.05,O=C1C[C@H](N1c1ccc(cc1N(=O)=O)N(=O)=O)c1ccccc1,14
DARSOG,1.581,2901.147,OC(=O)c1cc(NC(=O)Nc2cccc(c2)N(=O)=O)cc(c1)C(O)=O,14
DARWAX,1.529,1186.705,O=C(c1ccccn1)c1ccc(cc1N(=O)=O)N(=O)=O,9
DARWEB,1.451,522.212,O=C(c1ccncc1)c1ccc(cc1)N(=O)=O,2
DARYUQ,1.317,1625.819,CN1c2ccc(cc2C([C@]21C=Cc1c(O2)cccc1)(C)C)N(=O)=O,14
DARYUQ01,1.316,1626.723,CN1c2ccc(cc2C([C@]21C=Cc1c(O2)cccc1)(C)C)N(=O)=O,14
DASQET,1.235,772.637,CC([C@H]1CC[C@H](/C(=C\c2ccc(cc2)N(=O)=O)/C1=O)C)C,4
DASRUL,1.174,5323.329,O=N(=O)c1cc(/C=N/CC/N=C/c2cc(cc(c2O)C(C)(C)C)N(=O)=O)c(c(c1)C(C)(C)C)O,148
DASTUO,1.377,506.92,CCC[NH2+]Cc1cc(ccc1[O-])N(=O)=O,2
DATFOW,1.347,3790.085,C=C[C@H]1CC([C@H]2[C@]1(N(=O)=O)N(C(=O)c1ccccc1)c1c2cccc1)(C#N)C#N,61
DATGAJ,1.355,3768.613,C=C[C@@H]1CC([C@@H]2[C@@]1(N(=O)=O)c1ccccc1N2C(=O)c1ccccc1)(C#N)C#N,14
DATGEL,1.349,1636.93,Cc1ccc(c(N)c1C)N(=O)=O,15
DATGEN,1.452,1263.479,O=C(c1ccc(cc1)N(=O)=O)O[C@@H]1C[C@@]23[C@](C1)(CCC1(C3)OCCO1)[C@H](CC2)OC(=O)c1ccc(cc1)N(=O)=O,1
DATLAO,1.257,1127.358,O=C[C@]1(C)CCCC([C@H]1CN(=O)=O)(C)C,19
DATLEP,1.394,910.714,O=C(c1cc(cc(c1)N(=O)=O)N(=O)=O)O[C@H]1C=C[C@@]23[C@@]1(CCCC2)C=CC=C3,2
DATMEQ,1.25,1526.533,CCC1=C(c2ccccc2)C(=C([C@]21O[C@@H](N=C2c1ccccc1)c1ccc(cc1)N(=O)=O)c1ccccc1)c1ccccc1,2
DATMIU,1.235,3715.759,O=C(c1ccc(cc1)N(=O)=O)O[C@H]1CCC[C@@H]2[C@@]1(C)CCCC2(C)C,61
DATNBZ,1.839,439.136,Nc1c(cc(c(N)c1N(=O)=O)N(=O)=O)N(=O)=O,7
DATNBZ01,1.853,435.793,Nc1c(cc(c(N)c1N(=O)=O)N(=O)=O)N(=O)=O,7
DAVCOS,1.158,2395.247,CC(C1=C[C@](C)(Oc2c(C)cc(cc2C)C(C)(C)C)C(=O)[C@@]([C@H]1N(=O)=O)(C)O)(C)C,14
DAVHAJ,1.307,3185.052,COc1cc2CCc3cc(CCc(c1)c2OC)cc(c3)N(=O)=O,15
DAVJAN,1.558,1322.375,O=N(c1c(/C=C/C(N2N=[N+]([O-])c3ccccc32)=O)cccc1)=O,33
DAVKET,1.281,1531.382,CCN1C(=C/C(=C(\c2ccc(cc2)N(=O)=O)/C#N)/C=C1C)C,14
DAVQOH,1.632,1303.64,O=C1c2cc(cc(C#N)c2c2c(cc(cc12)N(=O)=O)C#N)N(=O)=O,14
DAVSOL,1.462,1250.466,OCc1ccc(OCc2ccccc2N(=O)=O)c(O)c1,14
DAVSUR,1.332,2865.562,CCOC(=O)C(Cc1ccc(OCc2ccccc2N(=O)=O)c(OC(=O)OC(C)(C)C)c1)(NC(C)=O)C(=O)OCC,14
DAVWAB,1.292,1606.374,CCC1=C2/C=C/3\N=C(C(=C3CC)CC)/C(=C/3\N/C(=C\C4=N/C(=C(\C(=C1CC)N2)/N(=O)=O)/C(=C4CC)CC)/C(=C3CC)CC)/N(=O)=O,2
DAVWEF,1.286,3227.034,CCC1=C(CC)/C/2=C/C3=N/C(=C(/N(=O)=O)\C4=C(C(=C(/C(=C/5\N=C(/C=C/1\N2)C(=C5CC)CC)/N(=O)=O)N4)CC)CC)/C(=C3CC)CC,14
DAVWOP,1.344,3309.468,CCC1=C(CC)/C/2=C(\N(=O)=O)/C3=N/C(=C(/N(=O)=O)\C4=C(C(=C(/C(=C/5\N=C(/C=C/1\N2)C(=C5CC)CC)/N(=O)=O)N4)CC)CC)/C(=C3CC)CC,19
DAVXAZ,1.552,1421.484,O=N(=O)C1=C(C)[C@@](C)(N(=O)=O)C(=O)[C@@]([C@]1(C)N(=O)=O)(C)N(=O)=O,29
DAVXED,1.592,1386.201,O=N(=O)C1=C(C)[C@](C)(N(=O)=O)C(=O)[C@@]([C@]1(C)N(=O)=O)(C)N(=O)=O,14
DAVXIH,1.52,1325.364,O=N(=O)C1=C(C)[C@](C)(O)C(=O)[C@@]([C@@]1(C)N(=O)=O)(C)N(=O)=O,14
DAVXON,1.503,1340.412,O=N(=O)C1=C(C)[C@@](C)(N(=O)=O)C(=O)[C@@]([C@@]1(C)N(=O)=O)(C)O,33
DAVXUT,1.495,1346.788,O=N(=O)C1=C(C)[C@](C)(N(=O)=O)C(=O)[C@@]([C@@]1(C)N(=O)=O)(C)O,14
DAVYAA,1.497,608.448,O=N(=O)C1=C(C)[C@]([C@]([C@@]1(C)N(=O)=O)(O)C(=O)C)(C)O,2
DAWNAQ,1.416,1479.417,O=N(=O)[C@H]1[C@](C)(C=C(C(=O)[C@]1(C)N(=O)=O)C(C)(C)C)N(=O)=O,33
DAWNEU,1.419,1475.967,O=N(=O)[C@H]1[C@@](C)(C=C(C(=O)[C@]1(C)N(=O)=O)C(C)(C)C)N(=O)=O,14
DAWNIY,1.295,3664.825,O=N(=O)[C@H]1C(=C[C@](C(=O)[C@]1(C)N(=O)=O)(N(=O)=O)C(C)(C)C)C(C)(C)C,61
DAWNOE,1.322,3592.356,O=N(=O)[C@H]1C(=C[C@@](C(=O)[C@@]1(C)N(=O)=O)(N(=O)=O)C(C)(C)C)C(C)(C)C,14
DAWNUK,1.327,3578.788,O=N(=O)[C@H]1C(=C[C@](C(=O)[C@@]1(C)N(=O)=O)(N(=O)=O)C(C)(C)C)C(C)(C)C,61
DAWPAS,1.255,1738.051,O=N(=O)[C@H]1C(=C[C@@](C(=O)[C@]1(C)N(=O)=O)(O)C(C)(C)C)C(C)(C)C,14
DAWPEW,1.28,1703.991,O=N(=O)[C@H]1C(=C[C@@](C(=O)[C@@]1(C)N(=O)=O)(O)C(C)(C)C)C(C)(C)C,14
DAWPIA,1.318,3310.331,O=N(=O)[C@H]1C(=C[C@](C(=O)[C@@]1(C)O)(N(=O)=O)C(C)(C)C)C(C)(C)C,61
DAWYEI,1.397,1123.008,C#C[C@H](c1ccccc1)O[C@H]1Cc2ccccc2C[C@H]1OC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,4
DAXJIW,1.236,923.001,CC([C@@H](C1=C(C)C[C@H]2[C@@H]1C2(C)C)OC(=O)c1ccc(cc1)N(=O)=O)C,4
DAXMUL,1.551,1157.181,O[C@H]1[C@H](OC[C@H]([C@@H]1O)O)Nc1ccc(cc1)N(=O)=O,19
DAXREC,1.452,1529.306,O=C1C(=C(C2=Cc3c(N12)cccc3)C)[C@H](c1ccc(cc1)N(=O)=O)O,14
DAYHIX,1.359,1732.496,CC(C)(C)N1N=C(C=C1C1=CC=CO1)C(=O)Nc1ccc(cc1)N(=O)=O,14
DAYPUP,1.404,772.01,O=N(=O)c1ccccc1/C=N/CC/N=C/c1ccccc1N(=O)=O,14
DAYPUP01,1.402,772.926,O=N(=O)c1ccccc1/C=N/CC/N=C/c1ccccc1N(=O)=O,14
DAYSIG,1.443,902.929,O=N(=O)c1cc(ccc1N/N=C/c1cccc(c1)OCc1ccccc1)N(=O)=O,2
DAYTON,1.311,1668.903,CCCOc1cc(/C=N/Nc2ccc(cc2)N(=O)=O)ccc1OC,14
DAYVAC,1.43,2761.681,C[C@H]1CN(C(=O)N1c1cccc(c1)N(=O)=O)c1ccccc1,61
DAYVIK,1.388,1128.287,C[C@H]1CN(C(=O)N1c1cccc(c1)N1C[C@@H](N(C1=O)c1cccc(c1)N(=O)=O)C)c1ccccc1,4
DAYWIK,1.473,1054.048,O=N(=O)c1cc(ccc1N/N=C/c1ccccc1OCCOc1ccccc1N(=O)=O)N(=O)=O,2
DAYYIO,1.29,2046.888,N#C[C@]1(C(=O)NCc2ccccc2)[C@H]([C@@H]1c1ccccc1)c1ccc(cc1)N(=O)=O,14
DAYYUY,1.446,1071.022,O=N(=O)/C=C/c1c2OCCc2cc2c1CCO2,14
DAZGUJ,1.285,3621.375,CCN(c1ccc(cc1)/C=C/C(=O)/C=C/c1ccc(cc1)N(=O)=O)CC,61
DBNCPD10,1.375,1542.534,OC(c1ccccc1)=C1C=C(C=C1C(=O)c1ccccc1)N(=O)=O,14
DEBPAE,1.279,2318.557,COC(=O)[C@H](C/C(=C\c1ccc(cc1)N(=O)=O)/C(=O)OC)/N=C/c1ccc2c(c1)cccc2,4
DECCOG,1.422,2015.828,CCN(c1cc(O)c(cc1/N=N/c1ccc(cc1)N(=O)=O)C1=Nc2c(O1)cccc2)CC,14
DEDNUX,1.576,2665.023,OCCN1C=NC(=N1)N(=O)=O,15
DEDYIX,1.344,2057.493,O=N(=O)C[C@H]1c2ccccc2OC(=O)[C@]1(Cc1ccccc1)NC(=O)c1ccccc1,4
DEFWUH,1.614,1791.57,CCOC(=O)c1cc(cc2C(c3cc(cc(c3c12)N(=O)=O)N(=O)=O)=C(C#N)C#N)N(=O)=O,14
DEGBEZ,1.344,1276.408,O=C(Nc1ccc(c2c(NC(=O)OCc3ccccc3)ccc(c12)N(=O)=O)N(=O)=O)OCc1ccccc1,14
DEGCEY,1.449,1298.902,COc1ccc(cc1)/C=C/C(=O)c1ccc(cc1)N(=O)=O,19
DEGLEH,1.271,716.611,O=N(=O)c1ccc2N(CCN3CCCCC3)C=Nc2c1,2
DEJWEU,1.444,1362.24,CCOC(=O)/C(=C(\O)/C)/c1ccc(cc1N(=O)=O)N(=O)=O,14
DEJWIY,1.487,1524.333,CCOC(=O)/C(=C(\O)/C)/c1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,14
DEKLAJ,1.508,2652.998,O=C(c1ccc(cc1)N(=O)=O)OC[C@@H]1/C(=N/OC(=O)c2ccc(cc2)N(=O)=O)/[C@H]2C=C[C@@H]1N(O2)C(=O)OCc1ccccc1,14
DEKYIC,1.469,1909.774,COc1cc(O)c(cc1N(=O)=O)C(C)=O,61
DEKYIC01,1.525,1839.487,COc1cc(O)c(cc1N(=O)=O)C(C)=O,61
DEKYOI,1.567,835.874,CC(=O)c1cc(c(O)cc1O)N(=O)=O,14
DEKYUO,1.617,1857.792,CC(=O)c1cc(cc(c1O)N(=O)=O)N(=O)=O,61
DEKZAV,1.664,966.433,CC(=O)c1cc(c(O)c(c1O)N(=O)=O)N(=O)=O,14
DEKZEZ,1.696,948.049,CC(=O)c1c(O)c(cc(c1O)N(=O)=O)N(=O)=O,14
DEKZID,1.752,1957.179,CC(=O)c1c(O)c(c(O)c(c1O)N(=O)=O)N(=O)=O,61
DELPEQ,1.3,987.316,CC(C)=NNc1ccccc1N(=O)=O,14
DELPEQ01,1.363,941.497,CC(C)=NNc1ccccc1N(=O)=O,14
DELQIV,1.471,686.848,O=N(=O)c1ccc(OCCOc2ccc(cc2)N(=O)=O)cc1,14
DELXEX,1.465,1479.072,O=N(=O)c1cc(ccc1N/N=C/1\[C@H]2C[C@H]3[C@H]4[C@@H]1[C@@H]2[C@@H]3C=C4)N(=O)=O,14
DELXOH,1.477,769.533,O=C(c1cc(cc(c1)N(=O)=O)N(=O)=O)O[C@@H]1[C@@H]2[C@@H]3C=C[C@@H]4[C@H]1[C@H]2C[C@H]34,2
DELZAV,1.534,1334.672,O=C1[C@](C)(O)[C@H](N(=O)=O)C(=C[C@]1(O)c1ccccc1)N(=O)=O,14
DELZEZ,1.545,1449.865,O=N(=O)C1=C[C@@](O)(c2ccccc2)C(=O)[C@@]([C@@H]1N(=O)=O)(C)N(=O)=O,14
DEMJIP,1.329,1390.817,O=N(=O)/C=C/C1=CN(c2c1cccc2)Cc1ccccc1,14
DEMMIR,1.16,1605.595,O=N[C@]1(C)CC[C@@H]2[C@@H](C(=C)CC[C@H]1N(=O)=O)CC2(C)C,19
DEMMOX,1.209,814.035,C=C1CC[C@@H](N(=O)=O)[C@](CC[C@@H]2[C@@H]1CC2(C)C)(C)N(=O)=O,4
DEMNIS,1.501,1270.785,O=N(=O)[C@@]1(C)C=C(C)[C@]([C@@](C1=O)(C)N(=O)=O)(C)N(=O)=O,14
DEMNOY,1.478,1290.586,CC1=C[C@@](C)(N(=O)=O)[C@]([C@](C1=O)(C)N(=O)=O)(C)N(=O)=O,14
DEMNUE,1.339,1201.469,O=N(=O)[C@@H]1C(=C[C@@](C(=O)C1(C)C)(C)N(=O)=O)C,2
DEMPAM,1.351,1190.638,CC1=C[C@@](C)(N(=O)=O)[C@@H](C(C1=O)(C)C)N(=O)=O,7
DEMPEQ,1.265,559.689,O=N(=O)[C@@H]1C(=C[C@@](C(=O)C1(C)C)(C)O)C,2
DEMPIU,1.453,1180.288,O=N(=O)[C@]1(C)C=C(C)[C@]([C@](C1=O)(C)O)(C)N(=O)=O,14
DEMPOA,1.455,1237.997,COC(=O)[C@H]1C(=O)CC[C@@]2([C@]1(O)CCCC2)N(=O)=O,14
DEMPUG,1.388,2060.346,C[C@@H]1CC[C@@]2(N(=O)=O)[C@](O)(CCCC2)O1,61
DEMRAO,1.294,1166.11,O=C1CC[C@@]2([C@@](C1)(O)CCCCC2)N(=O)=O,14
DEMRES,1.407,1006.411,O=N(=O)[C@@H]1CCCCC(=C(C1)C(=O)C)O,14
DEMRIW,1.364,1115.959,COC(=O)[C@H]1CCC[C@@H](CCC1=O)N(=O)=O,14
DEMROC,1.371,1101.131,CC(=O)/C/1=C(\O)/CCCCC[C@H](C1)N(=O)=O,14
DEMRUI,1.327,2415.586,CC(=O)/C/1=C(\O)/CCCCCC[C@H](C1)N(=O)=O,15
DEMSAP,1.337,1795.114,O=C(/C/1=C(\O)/CCCCC[C@H](CCC1=O)N(=O)=O)OCc1ccccc1,14
DEMSOD,1.517,999.302,COCOc1cc(cc(c1)N(=O)=O)N(=O)=O,19
DENCAA,1.434,720.75,COc1ccc(cc1)C1=NN=C(OC1)c1ccccc1N(=O)=O,2
DEQPUN,1.338,693.36,CC1=Nc2ccccc2CN=C1c1cccc(c1)N(=O)=O,2
DERGAJ,1.411,3957.3,CCOC(=O)[C@H]1[C@@H](C)C[C@@H]([C@H]2[C@@H]1CCC2)OC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,61
DERGIR,1.363,2038.774,CCOC(=O)[C@H]1[C@@H](C)C/C(=N\Nc2ccc(cc2N(=O)=O)N(=O)=O)/[C@@H]2[C@@H]1CCCC2,14
DERHEQ,1.276,2178.544,O=C1CCNC(=O)[C@@H](N(CCCCN1)C(=O)Cc1ccc(cc1)N(=O)=O)C(C)(C)C,14
DESCOW,1.295,1073.288,COC(=O)[C@@]([C@H](c1ccccc1)CN(=O)=O)(Cc1ccccc1)NCc1ccccc1,2
DESJOA,1.578,1895.723,O=N(=O)C([C@@H]1c2ccccc2[C@](c2c1cccc2)(N(=O)=O)c1ccccc1)(N(=O)=O)N(=O)=O,14
DETDOV,1.415,509.934,O=N(=O)C1=Cc2c3CCCCc3ccc2O1,2
DETYUW,1.37,1674.949,O=C(c1ccc(cc1)N(=O)=O)O[C@@]1(C)C[C@@]2([C@@]31O[C@@]3(C)[C@@H]1[C@H](C2)O1)C,14
DEVJUM,1.955,1577.195,O=C(C1=NN=C(O1)C(N(=O)=O)(N(=O)=O)N(=O)=O)C1=NN=C(O1)C(N(=O)=O)(N(=O)=O)N(=O)=O,2
DEVROL,1.546,668.773,O=C1OC(=O)c2c(/C/1=C(\c1ccc(cc1)N(=O)=O)/O)cccc2,7
DEVRUR,1.329,1105.884,CC[C@H]([C@@H]1OC(=O)c2c1cccc2)N(=O)=O,14
DEVWOR,1.533,1049.48,O=C1NCCc2ccc3c(cccc3N(=O)=O)c12,14
DEVWUX,1.499,1073.583,O=C1NCCc2ccc3cccc(c3c12)N(=O)=O,14
DEWBOW,1.506,1161.134,O[C@H]1Nc2ccc(cc2C(=O)N2[C@H]1CCC2)N(=O)=O,19
DEWYUZ,1.296,1739.4,O=C(c1ccc(cc1)N(=O)=O)O[C@@H]1CCCC[C@]1(C)c1ccccc1,14
DEXDUH,1.235,2164.484,CCCCC[C@@H]([C@H]1[C@@H]2C=C[C@@H](C[C@@H]2CN1C(=O)c1ccc(cc1)N(=O)=O)CO)O,19
DEXFET,1.167,4947.493,CCCCC[C@@H]([C@H]1[C@@H]2C=C(C)CC[C@@H]2CN1C(=O)c1ccc(cc1)N(=O)=O)O,146
DEXJAU,1.537,769.635,O=C1Cc2cc(ccc2N1)N(=O)=O,14
DEXVAE,1.379,1378.948,O=C(COc1ccc(cc1)N(=O)=O)NCc1ccccc1,2
DEXVUY,1.427,1322.981,O=C1COc2ccc(cc2N1Cc1ccccc1)N(=O)=O,14
DEYNED,1.409,932.163,O=N(=O)c1cc2[C@H]3C[C@@](Oc2c2c1cccc2)(Oc1c3cccc1)c1ccccc1,2
DEYRUV,1.223,1457.587,C/C(=N\c1cc(C)cc(c1)C)/c1ccc(cc1)N(=O)=O,14
DEYYOX,1.481,2580.784,O=C1C[C@H]2[C@@H](O1)[C@H]([C@H](N2[C@H](c1ccccc1)C)COC(=O)c1ccc(cc1)N(=O)=O)OC(=O)c1ccc(cc1)N(=O)=O,14
DEZRAD,1.499,623.131,O=C1CC(=NN1c1cccc(c1)N(=O)=O)c1ccccc1,7
DEZRAD01,1.469,635.757,O=C1CC(=NN1c1cccc(c1)N(=O)=O)c1ccccc1,2
DEZTAD,1.395,1220.159,O=C(CNc1ccccc1)c1ccc(cc1)N(=O)=O,14
DEZVOT,1.3,2112.681,CC(=O)CCc1c(C)c(OC(C)=O)c(C)c(C)c1OC(=O)c1ccc(cc1)N(=O)=O,14
DIBFEA,1.28,1548.717,Cc1cccc(C)c1C(=O)Nc1c(C)cc(cc1C)N(=O)=O,14
DIBFOK,1.387,1644.644,Cc1cc(cc(C)c1NC(=O)c1c(C)cc(cc1C)N(=O)=O)N(=O)=O,14
DIBFUQ,1.376,1787.874,Cc1cc(cc(C)c1NC(=O)c1c2ccccc2cc2ccccc12)N(=O)=O,33
DIBGIF,1.291,1607.324,CN(C(=O)c1c(C)cc(cc1C)N(=O)=O)c1c(C)cccc1C,14
DIBKUX,1.351,1565.109,C=CC([C@@H](OC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O)C#C)(C)C,19
DIBLUY,1.78,1478.56,NC1=NN=C(O1)C1=NON=C1N(=O)=O,14
DIBQUA,1.335,2435.345,Cc1ccc(cc1)[C@H]1C(=NO[C@]21N(Cc1c(C2=O)cccc1)c1ccccc1)c1ccc(cc1)N(=O)=O,14
DIBSAL,1.825,713.51,O=N(=O)C1=NON=C1C1=NN=C(O1)/N=N/C1=NN=C(O1)C1=NON=C1N(=O)=O,14
DICBOI,1.273,565.635,O=C(OC(C)(C)C)N[C@H]([C@@H](c1ccc(cn1)N(=O)=O)Cc1ccccc1)c1ccccc1,1
DICBUO,1.292,1673.332,CCC[C@@H]([C@H](c1ccccc1)N)C1=Nc2c(O1)cc(cc2)N(=O)=O,19
DICDUO,1.388,1752.615,O=C(c1cc(cc(c1)N(=O)=O)N(=O)=O)O[C@@H]1CC[C@@]2(OC1)CCCCO2,19
DICJIJ,1.256,2928.691,N#C[C@](N([C@H]1COC(O[C@H]1c1ccccc1)(C)C)C)(C(=O)OC(C)(C)C)[C@H](CN(=O)=O)COCc1ccccc1,19
DICPAJ,1.385,756.297,O=N(=O)c1ccc2Oc3ccccc3C(=Cc2c1)c1ccccc1,4
DICREN,1.199,1245.217,O=C(OC(C)(C)C)NN[C@@]1(CCC/C/1=N\Nc1ccc(cc1)N(=O)=O)C(=O)OC(C)(C)C,1
DICREN01,1.199,1245.217,O=C(OC(C)(C)C)NN[C@]1(CCC/C/1=N\Nc1ccc(cc1)N(=O)=O)C(=O)OC(C)(C)C,2
DIDHIJ,1.232,2029.601,CC(C)(C)N1CC(CO)(C1)N(=O)=O,14
DIDLAE,1.465,714.805,O=C1[C@H]2C=C[C@H]([C@@H]1[C@@H]1[C@H]2COCOC1)c1ccccc1N(=O)=O,2
DIDNIQ,1.816,4645.985,O=N(=O)c1cc(c(c(c1)N(=O)=O)c1c(cc(c(c2c(cc(cc2N(=O)=O)N(=O)=O)N(=O)=O)c1N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O,61
DIDNOU,1.413,1505.393,O=N(=O)c1ccccc1c1ccccc1c1ccccc1N(=O)=O,15
DIDNUA,1.416,1502.296,O=N(=O)c1cccc(c1)c1ccccc1c1cccc(c1)N(=O)=O,15
DIDWIY,1.415,1973.129,OCC/N=C/c1cc(ccc1O)N(=O)=O,61
DIFGEF,1.428,1466.65,O=C1[C@H]2C=C[C@H]([C@@H]1[C@H]1[C@@H]2COCOC1)c1ccccc1N(=O)=O,14
DIFPUF,1.535,2459.395,O=N(=O)c1ccc(N2C=C3C=CC=CC3=N2)c(c1)N(=O)=O,14
DIFPUF01,1.574,2398.961,O=N(=O)c1ccc(N2C=C3C=CC=CC3=N2)c(c1)N(=O)=O,14
DIFQEQ,1.569,1203.174,O=N(=O)c1ccc(N2N=Cc3ccccc23)c(c1)N(=O)=O,19
DIFQUF,1.374,1389.315,OC[C@]([C@H](c1ccc(cc1)N(=O)=O)O)(c1ccccc1)C,9
