ccdc_id,CHIRAL SMILES
DEWBOW,O[C@H]1Nc2ccc(cc2C(=O)N2[C@H]1CCC2)N(=O)=O
DEWYUZ,O=C(c1ccc(cc1)N(=O)=O)O[C@@H]1CCCC[C@]1(C)c1ccccc1
DEXFET,CCCCC[C@@H]([C@H]1[C@@H]2C=C(C)CC[C@@H]2CN1C(=O)c1ccc(cc1)N(=O)=O)O
DEXJAU,O=C1Cc2cc(ccc2N1)N(=O)=O
DEXVAE,O=C(COc1ccc(cc1)N(=O)=O)NCc1ccccc1
DEXVUY,O=C1COc2ccc(cc2N1Cc1ccccc1)N(=O)=O
DEYNED,O=N(=O)c1cc2[C@H]3C[C@@](Oc2c2c1cccc2)(Oc1c3cccc1)c1ccccc1
DEYRUV,C/C(=N\c1cc(C)cc(c1)C)/c1ccc(cc1)N(=O)=O
DEYYOX,O=C1C[C@H]2[C@@H](O1)[C@H]([C@H](N2[C@H](c1ccccc1)C)COC(=O)c1ccc(cc1)N(=O)=O)OC(=O)c1ccc(cc1)N(=O)=O
DEZRAD,O=C1CC(=NN1c1cccc(c1)N(=O)=O)c1ccccc1
DEZRAD01,O=C1CC(=NN1c1cccc(c1)N(=O)=O)c1ccccc1
DEZTAD,O=C(CNc1ccccc1)c1ccc(cc1)N(=O)=O
DEZVOT,CC(=O)CCc1c(C)c(OC(C)=O)c(C)c(C)c1OC(=O)c1ccc(cc1)N(=O)=O
DIBFEA,Cc1cccc(C)c1C(=O)Nc1c(C)cc(cc1C)N(=O)=O
DIBFOK,Cc1cc(cc(C)c1NC(=O)c1c(C)cc(cc1C)N(=O)=O)N(=O)=O
DIBFUQ,Cc1cc(cc(C)c1NC(=O)c1c2ccccc2cc2ccccc12)N(=O)=O
DIBGIF,CN(C(=O)c1c(C)cc(cc1C)N(=O)=O)c1c(C)cccc1C
DIBLUY,NC1=NN=C(O1)C1=NON=C1N(=O)=O
DIBQUA,Cc1ccc(cc1)[C@H]1C(=NO[C@]21N(Cc1c(C2=O)cccc1)c1ccccc1)c1ccc(cc1)N(=O)=O
DIBSAL,O=N(=O)C1=NON=C1C1=NN=C(O1)/N=N/C1=NN=C(O1)C1=NON=C1N(=O)=O
DICBOI,O=C(OC(C)(C)C)N[C@H]([C@@H](c1ccc(cn1)N(=O)=O)Cc1ccccc1)c1ccccc1
DICBUO,CCC[C@@H]([C@H](c1ccccc1)N)C1=Nc2c(O1)cc(cc2)N(=O)=O
DICDUO,O=C(c1cc(cc(c1)N(=O)=O)N(=O)=O)O[C@@H]1CC[C@@]2(OC1)CCCCO2
DICJIJ,N#C[C@](N([C@H]1COC(O[C@H]1c1ccccc1)(C)C)C)(C(=O)OC(C)(C)C)[C@H](CN(=O)=O)COCc1ccccc1
DICPAJ,O=N(=O)c1ccc2Oc3ccccc3C(=Cc2c1)c1ccccc1
DICREN,O=C(OC(C)(C)C)NN[C@@]1(CCC/C/1=N\Nc1ccc(cc1)N(=O)=O)C(=O)OC(C)(C)C
DICREN01,O=C(OC(C)(C)C)NN[C@]1(CCC/C/1=N\Nc1ccc(cc1)N(=O)=O)C(=O)OC(C)(C)C
DIDHIJ,CC(C)(C)N1CC(CO)(C1)N(=O)=O
DIDLAE,O=C1[C@H]2C=C[C@H]([C@@H]1[C@@H]1[C@H]2COCOC1)c1ccccc1N(=O)=O
DIDNIQ,O=N(=O)c1cc(c(c(c1)N(=O)=O)c1c(cc(c(c2c(cc(cc2N(=O)=O)N(=O)=O)N(=O)=O)c1N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O
DIDNOU,O=N(=O)c1ccccc1c1ccccc1c1ccccc1N(=O)=O
DIDNUA,O=N(=O)c1cccc(c1)c1ccccc1c1cccc(c1)N(=O)=O
DIDWIY,OCC/N=C/c1cc(ccc1O)N(=O)=O
DIFGEF,O=C1[C@H]2C=C[C@H]([C@@H]1[C@H]1[C@@H]2COCOC1)c1ccccc1N(=O)=O
DIFPUF,O=N(=O)c1ccc(N2C=C3C=CC=CC3=N2)c(c1)N(=O)=O
DIFPUF01,O=N(=O)c1ccc(N2C=C3C=CC=CC3=N2)c(c1)N(=O)=O
DIFQEQ,O=N(=O)c1ccc(N2N=Cc3ccccc23)c(c1)N(=O)=O
DIFQUF,OC[C@]([C@H](c1ccc(cc1)N(=O)=O)O)(c1ccccc1)C
DIFRAM,O=C(c1ccc(cc1)N(=O)=O)OC[C@]([C@@H](OC(=O)c1ccc(cc1)N(=O)=O)CCc1ccccc1)(c1ccccc1)C
DIGQAO,CN(c1ccc(cc1)/C=C/[C@@]12OCCN1c1c(C2(C)C)cc(cc1)N(=O)=O)C
DIGYAU,CC(=O)C1=CN2[C@@]3([C@H](C1)CCCC3)CC[C@@H]2COC(=O)c1ccc(cc1)N(=O)=O
DIHNOY,C/C(=N\Oc1ccc(cc1)N(=O)=O)/c1ccccc1
DIHWEZ,N#CC1=C(OC(=C1/C(=C(\c1ccccc1)/O)/C(=O)N)c1ccc(cc1)N(=O)=O)c1ccccc1
DIHXIE,O=N(=O)c1ccc(cc1)[C@H]1CC(=C(CC21C(=O)c1c(C2=O)cccc1)c1ccccc1)c1ccccc1
DIJJUE,COc1cc(/C=C/c2ccc(cc2)OCc2ccc(cc2)N(=O)=O)cc(c1)OC
DIJNAM,O[C@@H](C1=CC[C@]2(C1=O)C[C@@H]1C[C@H]2C=C1)c1ccc(cc1)N(=O)=O
DIJNIU,C[C@H]1[C@](C)(CC[C@]1(C#N)C(=O)C(C)(C)C)OC(=O)c1ccc(cc1)N(=O)=O
DIJNUG,C=CC[C@]1(CC[C@]([C@@H]1C)(C)OC(=O)c1ccc(cc1)N(=O)=O)C#N
DIJPAO,C[C@H]1[C@](C)(CC[C@@]1(C)C#N)OC(=O)c1ccc(cc1)N(=O)=O
DIJSIA,O[C@H]([C@@]1(OCCOC1=O)c1ccccc1)c1ccc(cc1)N(=O)=O
DIKSIA,COC(=O)c1ccc(N2N=C(C=C2N)c2ccccc2)c(c1)N(=O)=O
DIKSOG,COC(=O)c1ccc(NC2=NNC(=C2)c2ccccc2)c(c1)N(=O)=O
DIKXEB,OCC(N(=O)=O)(N(=O)=O)N(=O)=O
DILFUZ,O=N(=O)N(CCN(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O)CC(N(=O)=O)(N(=O)=O)N(=O)=O
DIMNAN,CN(C)c1ccc(cc1)N(=O)=O
DIMNAN01,CN(C)c1ccc(cc1)N(=O)=O
DIMNAN02,CN(C)c1ccc(cc1)N(=O)=O
DIMNAN03,CN(C)c1ccc(cc1)N(=O)=O
DIMNAN04,CN(C)c1ccc(cc1)N(=O)=O
DIMNAN05,CN(C)c1ccc(cc1)N(=O)=O
DINFOV01,O=N(=O)c1cc(cc(c1)N(=O)=O)C#N
DINXUW,O=C1CC(C)(C)CC2=C1[C@@H](C1=CNc3c1cc(cc3)N(=O)=O)c1c(O2)cccc1
DINYUX,O=C(NCCN(CCNC(=O)Nc1ccccc1N(=O)=O)C(=O)Nc1ccccc1N(=O)=O)Nc1ccccc1N(=O)=O
DIPGEQ,C=CCOC(=O)/C(=C/C1=C(C)C=C(N1)C)/c1ccccc1N(=O)=O
DIPHOC,CO[C@@H]1N(C)C(=O)NC=C1N(=O)=O
DIPHUI,O=C1NC=C([C@@H](N1C)N1CCCC1)N(=O)=O
DIPNIC,O=N(=O)[C@H]1CC[C@@H]([C@]2([C@@H]1c1ccccc1)C(=NN(C2=O)c1ccccc1)C)C
DIPNOI,O=N(=O)[C@@H]1CC[C@@]2([C@@]3([C@H]1c1ccccc1)C(=NN(C3=O)c1ccccc1)C)OC2
DISKIA,CCCOc1cc(ccc1NC(=O)c1ccc(c(OCc2ccccc2)c1)N(=O)=O)C(=O)Nc1ccc(cc1OC(C)C)C(=O)OC
DISYIP,CCN(CC)c1ccc2C=C(C(=O)Nc3ccc(cc3)N(=O)=O)C(=O)Oc2c1
DIWFEU,Nc1ccccc1c1ccc(cc1)N(=O)=O
DIWHIB,O=C(OCC(N(=O)=O)(N(=O)=O)N(=O)=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O
DIWKAW,CC1=NN(C(=C1)N)C(=O)c1ccccc1N(=O)=O
DIWKAX,O=N(=O)c1ccccc1/C=N/c1ccc2c3c1ccc1c3c(cc2)ccc1
DIWKEB,O=N(=O)c1ccc(cc1)N1COCN(COC1)c1ccc(cc1)N(=O)=O
DIWNED,CC1=NN(c2ccccc2)c2nc(N)c(C#N)c(c3ccc(cc3)N(=O)=O)c12
DIWNUT,O=C(OCc1cccc(COC(=O)Oc2ccc(cc2)N(=O)=O)c1)Oc1ccc(cc1)N(=O)=O
DIWPEF,CC(C)(CCC(C)(C)OC(=O)Oc1ccc(cc1)N(=O)=O)OC(=O)Oc1ccc(cc1)N(=O)=O
DIWSUY,CCCC(=O)Nc1cc(c(cc1C)C(=O)OC)N(=O)=O
DIWWEL,CN(C)c1cccc2cccc(c12)N(=O)=O
DIWWEL01,CN(C)c1cccc2cccc(c12)N(=O)=O
DIWWEL02,CN(C)c1cccc2cccc(c12)N(=O)=O
DIWXIS,C=C[C@H]([C@H]1N(CCc2c1cccc2)C(=O)c1ccc(cc1)N(=O)=O)c1ccccc1
DIWYUE,O=C1N(Cc2ccccc2)[C@@H](c2c1cc(cc2)N(=O)=O)NCc1ccccc1
DIXBAO,O=C(Nc1ccc(cc1)N(=O)=O)c1ccc2ccccc2n1
DIXBAP,OC[C@@H](N1C(=C(N=C1c1ccccc1N(=O)=O)c1ccccc1)c1ccccc1)Cc1ccccc1
DIXDUJ,CC(=O)Nc1ccccc1N(=O)=O
DIXDUJ01,CC(=O)Nc1ccccc1N(=O)=O
DIZREL,Cc1ccc(cc1)C1=C(N(C(=O)c2ccccc12)c1cccc2cccnc12)c1ccc(cc1)N(=O)=O
DLARPY,CO[C@H]1OC[C@@H]([C@]([C@H]1OC(=O)C)(C)N(=O)=O)OC(=O)C
DMNPPO,O=C1C[C@](C(=O)N1C)(C)c1ccccc1N(=O)=O
DMNPYO,Cc1c([N+]([O-])=O)c(C)c[n+]([O-])c1
DMNPYO01,Cc1c([N+]([O-])=O)c(C)c[n+]([O-])c1
DNBENZ10,O=N(=O)c1cccc(c1)N(=O)=O
DNBENZ11,O=N(=O)c1cccc(c1)N(=O)=O
DNBENZ12,O=N(=O)c1cccc(c1)N(=O)=O
DNBENZ13,O=N(=O)c1cccc(c1)N(=O)=O
DNBENZ14,O=N(=O)c1cccc(c1)N(=O)=O
DNBENZ15,O=N(=O)c1cccc(c1)N(=O)=O
DNBOIM,O=N(/N=C1C[C@]2(N(=O)=O)C(C)(C)[C@]\1(CC2)C)=O
DNBZFX,O=N(=O)C1=CC2=[N+]([O-])ON=C2C(=C1)N(=O)=O
DNBZFX01,O=N(C1=CC2=[N+](ON=C2C(N(=O)=O)=C1)[O-])=O
DNBZIL,O=C(c1ccc(cc1)N(=O)=O)C(=O)c1ccc(cc1)N(=O)=O
DNBZIL01,O=C(c1ccc(cc1)N(=O)=O)C(=O)c1ccc(cc1)N(=O)=O
DNBZPY,O=N(=O)c1ccc(Cc2ccccn2)c(c1)N(=O)=O
DNBZPY01,O=N(=O)c1ccc(Cc2ccccn2)c(c1)N(=O)=O
DNBZPY02,O=N(=O)c1ccc(Cc2ccccn2)c(c1)N(=O)=O
DNBZPY03,O=N(=O)c1ccc(Cc2ccccn2)c(c1)N(=O)=O
DNCOOC,O=N(=O)C1=CC=CC=C(C=C1)N(=O)=O
DNEIBA,NC(=O)c1cc(N2CC2)c(cc1N(=O)=O)N(=O)=O
DNITBZ,O=N(=O)c1ccc(cc1)N(=O)=O
DNITBZ02,O=N(=O)c1ccc(cc1)N(=O)=O
DNITBZ03,O=N(=O)c1ccc(cc1)N(=O)=O
DNITBZ11,O=N(=O)c1ccc(cc1)N(=O)=O
DNITBZ12,O=N(=O)c1ccc(cc1)N(=O)=O
DNITBZ13,O=N(=O)c1ccc(cc1)N(=O)=O
DNITPY,O=N(=O)c1cncc(c1)N(=O)=O
DNNAPH,O=N(=O)c1cccc2c1cccc2N(=O)=O
DNOPHL,Oc1ccc(cc1N(=O)=O)N(=O)=O
DNOPHL01,Oc1ccc(cc1N(=O)=O)N(=O)=O
DNOPHL02,Oc1ccc(cc1N(=O)=O)N(=O)=O
DNOPHL03,Oc1ccc(cc1N(=O)=O)N(=O)=O
DNPBUB,CC(C)(C)c1cc(c(Oc2ccc(cc2N(=O)=O)N(=O)=O)c(c1)C(C)(C)C)C(C)(C)C
DNPETY,C=C(c1ccc(cc1)N(=O)=O)c1ccc(cc1)N(=O)=O
DNPHOL,Oc1c(cccc1N(=O)=O)N(=O)=O
DNPHOL02,Oc1c(cccc1N(=O)=O)N(=O)=O
DNPIMZ,CC(C)C1=NC(=CN1N(=O)=O)N(=O)=O
DNTANT,O=N(=O)c1c2ccccc2c(c2ccccc12)N(=O)=O
DNTDPH,O=N(=O)c1ccc(cc1)c1ccc(cc1)N(=O)=O
DNTDPH01,O=N(=O)c1ccc(cc1)c1ccc(cc1)N(=O)=O
DNTNAP01,O=N(=O)c1cccc2cccc(c12)N(=O)=O
DNTNAP02,O=N(=O)c1cccc2cccc(c12)N(=O)=O
DNTNAP10,O=N(=O)c1cccc2cccc(c12)N(=O)=O
DOBZOM,CC1=C[C@H](CC2OCCO2)[C@@]2([C@H](C1)N(CCC2=O)C(=O)OC(C)(C)C)N(=O)=O
DOCKIP,COC(=O)C1=C(N(C)Cc2ccccc2)N(C(=O)C(=C1)c1ccccc1)c1ccc(cc1)N(=O)=O
DOCRUK,O=C(c1ccc(cc1)N(=O)=O)N/C=C(\C(=O)NC(C)(C)C)/C
DODKIQ,O=C(OCCCCOC(=O)c1ccc(cc1)N(=O)=O)c1ccc(cc1)N(=O)=O
DODPAP,O=C1c2ccccc2CC[C@@H]1c1ccc(c2c1cccc2)N(=O)=O
DOFCUW,O=C1c2ccccc2CC[C@]1(O)c1ccc(cc1)N(=O)=O
DOHCOS,Cc1c(c(C)c(c(c1N(=O)=O)C(C)(C)C)N(=O)=O)N(=O)=O
DOHCOS01,Cc1c(c(C)c(c(c1N(=O)=O)C(C)(C)C)N(=O)=O)N(=O)=O
DOHCOS10,Cc1c(c(C)c(c(c1N(=O)=O)C(C)(C)C)N(=O)=O)N(=O)=O
DOHCUY,Cc1c(C)c(c(c(c1C)N(=O)=O)C(C)(C)C)N(=O)=O
DOHCUY01,Cc1c(C)c(c(c(c1C)N(=O)=O)C(C)(C)C)N(=O)=O
DOHCUY10,Cc1c(C)c(c(c(c1C)N(=O)=O)C(C)(C)C)N(=O)=O
DOHFEL,O=N(=O)[C@H]1[C@@H](C[C@]2(O[C@@H]1c1ccccc1N2)C)C1=CC=CO1
DOHGIS,CCCCCCCCCCN1c2ccc(cc2c2cc(ccc12)N(=O)=O)N(=O)=O
DOJHAM,CC(C)N(O)C(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
DOJHUG,COCO[C@@H]1CC[C@H]([C@H]([C@@H]1OC(=O)c1ccc(cc1)N(=O)=O)O)O
DOKDIT,O=N(=O)c1cc2/C=N/CC[N@@]3CC/N=C/c4cc(/C=N/CC[N@](CC/N=C/c(c1)c2)CC/N=C/c1cc(/C=N/CC3)cc(c1)N(=O)=O)cc(c4)N(=O)=O
DOKLUL,CC(=O)O[C@@H]1C[C@H](OC(=O)c2ccc(cc2)N(=O)=O)[C@@H]([C@H]([C@@H]1OC(=O)C)OC(=O)C)OC(=O)c1ccc(cc1)N(=O)=O
DOKNIC,CCCCCCC1(CCCCCC)c2cc(ccc2c2ccc(cc12)C(=O)Cc1ccc(cc1)N(=O)=O)C#Cc1ccc(cc1)N(Cc1ccccc1)Cc1ccccc1
DOKRUQ,O=N(C1=C[C@](N(=O)=O)(C([C@@](C)(O)[C@H]1N(=O)=O)=O)C)=O
DOKSAX,O=N(C1=C[C@](O)(C([C@@](C)(O)[C@H]1N(=O)=O)=O)C)=O
DOKSIG,CC(=O)N/N=C(/c1ccc(cc1)N(=O)=O)\C
DOKVUV,CCOC(=O)c1ccc(Nc2ccccc2)c(c1)N(=O)=O
DOKVUV01,CCOC(=O)c1ccc(Nc2ccccc2)c(c1)N(=O)=O
DOKYEH,O=N(=O)c1ccccc1NN=C(c1ccccc1)c1ccccc1
DOKYIL,O=N(=O)c1ccc(NN=C(c2ccccc2)c2ccccc2)cc1
DOKZIN,CNC(=O)OCCN1C(=NC=C1N(=O)=O)C
DOMJAS,CCOC(=O)N1c2ccccc2[C@]2([C@@H]1N[C@](C2)(C(=O)OC)c1cc(C)ccc1N(=O)=O)C(=O)OC(C)C
DOPLOL,NC(=O)c1cc(c(N)c(c1)N(=O)=O)N(=O)=O
DOPLOL01,NC(=O)c1cc(c(N)c(c1)N(=O)=O)N(=O)=O
DOPLOL02,NC(=O)c1cc(c(N)c(c1)N(=O)=O)N(=O)=O
DOPLOL03,NC(=O)c1cc(c(N)c(c1)N(=O)=O)N(=O)=O
DOPLOL04,NC(=O)c1cc(c(N)c(c1)N(=O)=O)N(=O)=O
DOPLOL05,NC(=O)c1cc(c(N)c(c1)N(=O)=O)N(=O)=O
DOPZOZ,CN1C=CN(/C/1=N\N=N\c1cccc(c1)N(=O)=O)C
DORJAW,COc1cc(cc2CN3CN(Cc4cc(cc(OC)c34)N(=O)=O)c12)N(=O)=O
DORJEA,Cc1ccc(c2CN3CN(Cc4c(ccc(C)c34)N(=O)=O)c12)N(=O)=O
DORJIE,C[C@H](c1ccccc1)C[C@@](C#N)(COC(=O)c1ccc(cc1)N(=O)=O)C
DORJOK,N#C[C@@](C[C@H](c1cccc2c1cccc2)C)(COC(=O)c1ccc(cc1)N(=O)=O)C
DORKEA,O=N(=O)c1cc(ccc1N/N=C/1\CCCC=C2[C@@]1(C)CCC2)N(=O)=O
DORKOL,O=C([C@@H]1CCCN1)Nc1cc(cc(c1)N(=O)=O)N(=O)=O
DORMED,CCOC(=O)C[C@@H]1O[C@@H]2CCCC[C@H]2C[C@H]1OC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
DORYOA,NN1N=C(C(=C1N(=O)=O)N1N=C(C(=C1N(=O)=O)N)N(=O)=O)N(=O)=O
DORYUF,O=C(c1ccc(cc1)N(=O)=O)OC[C@@H]1[C@@H]2C=CC=C[C@H](/C/1=C\c1ccccc1)C2
DOSFEX,OCC[C@H]([C@H](C(=C)c1ccccc1)N(=O)=O)c1ccc(cc1)N(=O)=O
DOSKUU,O=N(=O)c1ccccc1C=C(C#N)C#N
DOTQOT,CCOC(COc1cc(ccc1N)N(=O)=O)OCC
DOTROU,COC(=O)c1cccc(C(=O)OC)c1Oc1c(cccc1N(=O)=O)N(=O)=O
DOTVIS,OCC[C@@H]([C@H](C(=C)c1ccccc1)N(=O)=O)c1ccc(cc1)N(=O)=O
DOVCIB,Cc1ccc(cc1)/C=C/c1c(N(=O)=O)c(/C=C/c2ccc(cc2)C)c(cc1N(=O)=O)N(=O)=O
DOWDEB,NN1N=C(OC1=[NH2+])[C-](N(=O)=O)N(=O)=O
DOWGUR,C[C@@H](C(C)(C)C)[C@@H]1ON=C(C1)c1ccc(cc1)N(=O)=O
DOWJAB,CC(=O)N[C@H](c1ccccc1N(=O)=O)C
DOWQEN,CNc1ccccc1N(=O)=O
DOWQIR,CNc1cccc(c1)N(=O)=O
DOWTER,NC1=[NH+]N=C(O1)[C-](N(=O)=O)N(=O)=O
DOXGIH,CCOC(=O)C(=[N+]=[N-])c1ccccc1N(=O)=O
DOXGON,CC(C)(C)OC(=O)C(=[N+]=[N-])c1ccc(cc1)N(=O)=O
DOXGUT,CC(C)N(C(C)C)C(=O)C(=[N+]=[N-])c1ccc(cc1)N(=O)=O
DOXTIW,C=CCNC(=O)N1C[C@@H]2C[C@H](C1)C1=CC=C(C(=O)N1C2)N(=O)=O
DOXVIX,O=C([C@H]1[C@H]2C[C@@]3(N1c1ccccc1C3(C)C)Oc1c2c2ccc(cc2cc1)N(=O)=O)NCc1ccccc1
DOYCID,NC1=C(C=C(C2=NO[N+](=C12)[O-])N(=O)=O)N(=O)=O
DOYGAB,COc1ccc2c(c1)ccc(c2)/C(=C\N(=O)=O)/ON1C(C)(C)CCCC1(C)C
DOYGEF,N#Cc1ccc(cc1)/C(=C\N(=O)=O)/ON1C(C)(C)CCCC1(C)C
DOYLAG,CN1C=C(C(=O)C(=O)c2ccc(cc2)N(=O)=O)c2ccccc12
DOZHIL,CC(=CCC[C@@]1(C)OC2=C([C@]3([C@@H]1COc1c3cc(cc1)N(=O)=O)C)C(=NN2c1ccccc1)C)C
DOZMIQ,CC1(C)CCCC(N1O/C(=C/N(=O)=O)/c1ccccc1)(C)C
DOZPAL,COC(=O)c1cnc2cccc(c2c1)N(=O)=O
DOZTIY,O=N(=O)c1ccc(Oc2ccc(cc2N(=O)=O)N(=O)=O)c(c1)N(=O)=O
DOZTOE,O=N(=O)c1cc(c(Oc2c(cc(cc2N(=O)=O)N(=O)=O)N(=O)=O)c(c1)N(=O)=O)N(=O)=O
DUBGEP,O=N(=O)c1ccc(cc1)[C@@H]1OCC=C(C1)c1ccccc1
DUBZAE,O=C1[C@@H]2[C@H]3C=C[C@@H]([C@@H]2C(=O)N1c1ccc(cc1)N(=O)=O)O3
DUBZEI,O=C1[C@@H]2[C@H]3CC[C@@H]([C@@H]2C(=O)N1c1ccc(cc1)N(=O)=O)O3
DUCLEU,CCC1(CC)C2=CC=C(N2)[C@](C)(C2=CC=C(N2)C(C2=CC=C(C(C3=CC=C1N3)(C)C)N2)(CC)CC)c1ccc(cc1)N(=O)=O
DUCLIY,CCC1(CC)C2=CC=C(N2)[C@](C)(C2=CC=C(N2)C(C2=CC=C(C3(C4=CC=C1N4)CCCCC3)N2)(CC)CC)c1ccc(cc1)N(=O)=O
DUCRIE,O=N(=O)c1cc(ccc1N1[C@@H]2C[C@H]3[C@H]([C@@H]1CCC3)C(=C2)C(C)(C)C)N(=O)=O
DUCRUQ,COC(=O)c1cc(OC)c(OC)c(OC)c1N(=O)=O
DUCRUQ01,COC(=O)c1cc(OC)c(OC)c(OC)c1N(=O)=O
DUCTUR,O=N(=O)c1ccc(cc1)/C=N/OCCCO/N=C/c1ccc(cc1)N(=O)=O
DUCVUT,CC1=NN([C@H](C1)C1=CC=CO1)c1cccc(c1)N(=O)=O
DUCXEF,CC/C(=N/Nc1ccccc1N(=O)=O)/C
DUDBUA,CCOC(=O)C(=Cc1ccccc1N(=O)=O)C(=O)OCC
DUDHOB,CC(C)(C)OC(=O)C1=CN(N=N1)c1ccc(cn1)N(=O)=O
DUDNOH,CCOC(=O)C1=CN(N=N1)c1ccc(cn1)N(=O)=O
DUDZIL,Nc1ccc(cc1C(=O)c1ccccc1)N(=O)=O
DUDZIL01,Nc1ccc(cc1C(=O)c1ccccc1)N(=O)=O
DUDZIL02,Nc1ccc(cc1C(=O)c1ccccc1)N(=O)=O
DUDZIL03,Nc1ccc(cc1C(=O)c1ccccc1)N(=O)=O
DUDZIL04,Nc1ccc(cc1C(=O)c1ccccc1)N(=O)=O
DUDZIL07,Nc1ccc(cc1C(=O)c1ccccc1)N(=O)=O
DUDZIL08,Nc1ccc(cc1C(=O)c1ccccc1)N(=O)=O
DUDZIL09,Nc1ccc(cc1C(=O)c1ccccc1)N(=O)=O
DUFKIY,CO[C@]12O[C@H](C(=O)N1c1ccc(cc1)N(=O)=O)[C@@]1(c3c2cccc3)O[C@]2(O[C@@H]1C(=O)c1c2cccc1)OC
DUGDOB,Nc1c(c(O)cc(O)c1N(=O)=O)N(=O)=O
DUGHAR,O=N(=O)c1ccc(cc1)C#CC=C(c1ccccc1)c1ccccc1
DUGXAE,CC(=O)O[C@H]1[C@H](OC[C@H]([C@H]1OC(=O)C)OC(=O)C)Nc1cc(C)c(cc1N(=O)=O)C
DUGXOS,CC(=O)OC[C@H]1O[C@@H]([C@H]2[C@@H]1OC(O2)(C)C)Nc1cc(C)c(cc1N(=O)=O)C
DUHJAT,COc1ccc(cc1)C1=C[C@@]([C@H]([C@@H]1N(=O)=O)c1ccccc1)(C#N)C(=O)N
DUHPEB,O=N(c1c(C2=C[C@](O)([C@H](N(=O)=O)[C@@](N(=O)=O)(c3ccccc3)C2=O)C)cccc1)=O
DUHPIF,O=N(=O)[C@H]1[C@@](C)(O)C=C(C(=O)[C@]1(N(=O)=O)c1ccccc1)c1ccccc1
DUHPOL,O=N(=O)[C@@H]1[C@@](C)(C=C(C(=O)[C@@]1(N(=O)=O)c1ccccc1)c1ccccc1)N(=O)=O
DUHPOM,O=N(=O)[C@@H]1[C@](C)(C=C(C(=O)[C@@]1(N(=O)=O)c1ccccc1)c1ccccc1)N(=O)=O
DUHPUR,O=N(=O)[C@@H]1[C@@](O)(c2ccccc2)C(=O)C(=C[C@@]1(C)N(=O)=O)c1ccccc1
DUHRAZ,O=N(=O)C1=C[C@@](O)(c2ccccc2)C(=O)[C@@]([C@@H]1N(=O)=O)(O)c1ccccc1
DUHXIO,CCCCCCCCCCCCOc1ccc(cc1)N(=O)=O
DUHYAH,Cc1ccccc1C(=O)Oc1ccc(cc1)N(=O)=O
DUJBUG,Oc1ccc(cc1C=O)N(=O)=O
DUJBUG01,Oc1ccc(cc1C=O)N(=O)=O
DUJGOF,O=C1CC(C)(C)CC2=C1[C@H](c1ccc(cc1)N(=O)=O)c1c(O2)ccc2c1cccc2
DUJMAW,CN1CCO[C@]2([C@@H]1OCCN2C)c1ccc(cc1)N(=O)=O
DUJQOP,NC(=O)c1cc(ccc1O)N(=O)=O
DUJSIL,COc1ccccc1C(=O)N/N=C/c1ccc(cc1)N(=O)=O
DUJTOR,COC(=O)[C@]1(/N=N/c2ccc(cc2N(=O)=O)N(=O)=O)C(=C(C(=C1C(=O)OC)C(=O)OC)C(=O)OC)C(=O)OC
DUKLAX,O=N(=O)c1ccc(N2CC(C2)(N(=O)=O)N(=O)=O)c(c1)N(=O)=O
DUMKII,O=C(NCc1ccc2ccc3cccc4ccc1c2c34)Nc1ccc(cc1)N(=O)=O
DUMQUA,CC(=O)C[C@@H]1[C@H]2CCCCC2=C(C1=O)c1ccccc1OC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
DUMSAG,COC(=O)c1cc(cc(c1C)N(=O)=O)N(=O)=O
DUMVOZ,CC1=CC(=C2N1c1ccccc1C=C2c1ccc(cc1)N(=O)=O)C
DUNQOT,CCOC(=O)/C(=N/OC)/C(=O)c1ccc(cc1)N(=O)=O
DUNXIU,CCOC(=O)C1=NN(c2ccc(cc2)N(=O)=O)C(=NN1c1ccc(cc1)N(=O)=O)C(=O)OCC
DUPHIF,CN(C)C(=CN(=O)=O)N(C)C
DUPHOL,CC(CCC(O)=O)(N(=O)=O)N(=O)=O
DUPJAA,CC(C)(C)c1cc2C=C(C(=O)Oc2c(c1)C(C)(C)C)c1ccc(cc1)N(=O)=O
DUPJAZ,C[C@H](c1ccccc1)Oc1ccc(cc1)N(=O)=O
DUPJED,COc1ccc(cc1)[C@@H](Oc1ccc(cc1)N(=O)=O)C
DUPJII,CCCCC(=O)Oc1ccc(O)c(c1)N(=O)=O
DUPJUU,CCCC/C=N/Nc1ccc(cc1N(=O)=O)N(=O)=O
DUPJUV,O=N(=O)CC1=NN=C(O1)c1ccccc1
DUPLIK,CC(C)(C)OC(=O)C(C)(C)C(=O)c1ccc(cc1)N(=O)=O
DUPTOZ,CN(/C=C(\C(=O)c1ccccc1)/N(=O)=O)C
DUQREN,OC(=O)c1ccc(NC(=O)c2ccc(cc2)N(=O)=O)cc1
DUQRIS,CCCCOc1ccc(cc1OC)/C=C(/c1ccc(cc1)N(=O)=O)\C#N
DUSCAY,CCOC(=O)C1=C[C@@](OC1=O)(C)[C@@H](c1ccccc1)CN(=O)=O
