ccdc_id,CHIRAL SMILES
LAVRAF,CN(Cc1ccccc1)c1ccc(cc1N(=O)=O)[N+]#[C-]
LAVTOV,O=C(c1cc(cc(c1)N(=O)=O)N(=O)=O)OC[C@H]1C[C@]2(C[C@@H]1CCC2)C
LAXGOK,CN(C)CCCNc1nc2cc(ccc2nc1NCc1ccccc1)N(=O)=O
LAXSAI,Cc1cc(C)c(c(C)c1C(c1c(C)cc(C)c(c1C)N(=O)=O)=C(c1c(C)cc(C)c(c1C)N(=O)=O)c1c(C)cc(C)c(c1C)N(=O)=O)N(=O)=O
MAQDER,CC([C@@H]1CCC=CC1=O)(N(=O)=O)C
MAQDIV,O=C(CC1(CCC1)N(=O)=O)c1ccccc1
MAQDOB,O=C(c1ccccc1)C[C@@]1([C@@H]2C[C@@H]3C[C@H]1C[C@H](C2)C3)N(=O)=O
MAQDUH,O=C(CCN(=O)=O)c1ccccc1
MAQFAP,CC(C)(CC(=O)c1ccccc1)N(=O)=O
MAQFET,O=C(CC1(CCCC1)N(=O)=O)c1ccccc1
NAMTEE,OC1=C(C(=O)CC(C1)(C)C)[C@H](C1=CC=CO1)CC1=C(N(=O)=O)C(=NO1)C
NANILI32,Nc1ccc(cc1)N(=O)=O
NAQWOV,O=C(c1ccccc1)C[C@H]1CC2([C@@H]([C@H]1N(=O)=O)c1ccccc1)C(=O)OC(OC2=O)(C)C
NARTEJ,Oc1ccc(cc1/C=N/C1=CC(=NN1c1ccccc1N(=O)=O)C(C)(C)C)/N=N/c1ccccc1
NARTIN,Cc1ccc(cc1)/N=N/c1ccc(c(c1)/C=N/C1=CC(=NN1c1ccc(cc1)N(=O)=O)C(C)(C)C)O
NARTOT,CC(C1=NN(C(=C1)/N=C/c1cc(ccc1O)/N=N/c1ccccc1)c1ccc(cc1)N(=O)=O)(C)C
NARYUE,O=N(=O)[C@H]1OC(=C([C@@H]1c1ccccc1)C(=O)C)C
NBZANO13,O=N(=O)c1ccc([NH+]=Nc2c([O-])ccc3ccccc23)cc1
NIPHAZ02,O=N(=O)c1ccc(cc1)N=[N+]=[N-]
OCUBEX,COc1ccc(cc1)[C@H]1CN1Oc1ccc(cc1N(=O)=O)N(=O)=O
OXIBUV,C#CCCCC(=O)Nc1ccc(cc1)/N=N/c1ccc(cc1)N(=O)=O
OYISUN,CC1=NOC(=C1N(=O)=O)C1=NO[N+](=C1C1=C(C(=NO1)C)N(=O)=O)[O-]
PAJGAM,O=N(=O)C1=NN(C(=N1)/N=N/C1=NC(=NN1C(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O)C(N(=O)=O)(N(=O)=O)N(=O)=O
PAKPAW,O=N(=O)N1C=C(C(=N1)N=[N+]([O-])C1=NN(C=C1N(=O)=O)N(=O)=O)N(=O)=O
PAKXOS,Nc1nc(nnc1N(=O)=O)N=[N+]=[N-]
PAMSOP,O=C(C[C@H](c1ccc(cc1)N(=O)=O)O)CC(=O)OC(c1ccccc1)c1ccccc1
PAPMOM,CC(CC(=O)/C(=C/c1ccc(cc1)N(=O)=O)/N1N=CN=C1)C
PAPWUC,O=N(=O)N1COCC(C1)(N(=O)=O)N(=O)=O
PAPXEN,OC[C@@]1(COCN(C1)C(C)(C)C)N(=O)=O
PAPXIR,O=N(=O)[C@]1(COCN(C1)C(C)(C)C)CNC(C)(C)C
PAQDEU,COC(=O)CN1C=NC(=C1N(=O)=O)N(=O)=O
PAQDIY,O=N(=O)C1=CN(C=N1)C(N(=O)=O)(N(=O)=O)N(=O)=O
PAQDOE,O=N(=O)C1=NC=CN1C(N(=O)=O)(N(=O)=O)N(=O)=O
PAQLEC,CC1=NON=C1C1=C(C(=NN1C(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O
PAQLEC01,CC1=NON=C1C1=C(C(=NN1C(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O
PAQRUY,O=N(=O)CN1C=NC(=C1N(=O)=O)N(=O)=O
PAQTOU,O=N(=O)c1cccc2c1[C@H](CC2)[C@H]1CCc2c1c(ccc2)N(=O)=O
QAWMAG,COc1ccc(cc1)N(CCC1=CN(C(=O)c2ccc(cc2)N(=O)=O)c2ccc(OC)cc12)c1ccc(OC(=O)OC(C)(C)C)cc1
QAWMEK,CC(=C)[C@@H]1C/C(=N\Nc2ccc(cc2N(=O)=O)N(=O)=O)/C(=C[C@H]1N(c1ccccc1)C)C
RAHQAW,O=N(=O)c1ccc(cc1)[C@@H]1C2=C(C(=O)N(C2=O)c2ccccc2)C2=C([C@]31C(=NN(C3=O)c1ccccc1)C)N(C)c1c2cccc1
RAHQOK,O=N(=O)c1ccc(cc1)[C@@H]1C2=C(C(=O)N(C2=O)c2ccccc2)C2=C([C@@]31C(=NN(C3=O)c1ccccc1)C)N(C)c1c2cccc1
RALCAM,COc1ccc(cc1OC)CC/N=C/c1ccc(cc1)N(=O)=O
RAPZOB,CN1[C@@H]2CCC[C@H]1/C(=C\c1ccc(cc1)N(=O)=O)/C(=O)/C/2=C/c1ccc(cc1)N(=O)=O
SAKGOE,O=C1CC[C@@]2(O1)OC[C@@]([C@@H]2OC(=O)c1ccc(cc1)N(=O)=O)(C)O
SALYUD,COC(=O)[C@@H]1[C@H](c2ccccc2)[C@H]([C@@H](N1C)c1ccccc1)NC(=O)[C@H]1N[C@H]([C@@H]([C@H]1c1ccccc1)N(=O)=O)c1ccccc1
SAMYAK,CC(=O)Oc1ccc2c(c1)[C@@]1(N(=O)=O)[C@@H](c3ccccc3)[N@]3N([C@H]1O2)C(=O)CC3
SAPMOP,O=C(c1ccc(cc1)N(=O)=O)O[C@@H]1CC2=CC3=CCCC[C@@H]3CC[C@H]2C([C@H]1OC(=O)c1ccc(cc1)N(=O)=O)(C)C
SAQHAX,C[C@@H](N1N=NC(=N1)c1ccc(cc1)N(=O)=O)CCN1C(=O)c2c(C1=O)cccc2
SAQHIF,CC(=O)OCC[C@@H](N1N=NC(=N1)c1ccc(cc1)N(=O)=O)C
SAQYES,COC(=O)c1cc(cc(C)c1c1c(C)cc(cc1C(=O)OC)N(=O)=O)N(=O)=O
SASREN,O[C@H]1CC(=O)[C@@H]2[C@@H](C1)C(=CN1[C@H]2c2ccccc2C1)N(=O)=O
SASVIV,CCOC(=O)C[C@H]1C[C@H]2[C@@H]([C@@]31N(Cc1c3cccc1)C=C2N(=O)=O)C(=O)c1ccccc1
SASVUH,O=N(=O)C1=CN2Cc3c([C@@H]2[C@]2([C@@H]1/C=C/N1CCCCC1)C(=O)Nc1c2cccc1)cccc3
SATFIG,C/C(=C(/C(=O)C)\C=C\[C@H]1C(=CN2[C@@H]([C@H]1C(=O)c1ccccc1)c1ccccc1C2)N(=O)=O)/O
SATFOM,O=N(=O)C1=CN2Cc3c([C@H]2[C@@H]([C@@H]1CC=C(C(=O)c1ccccc1)C(=O)c1ccccc1)C(=O)c1ccccc1)cccc3
SATFUS,N#C[C@@]1(C(=O)c2ccccc2)[C@@H]2N(Cc3c2cccc3)C=C([C@@H]1/C=C/C(=C(/O)\C)/C(=O)C)N(=O)=O
SATGAZ,C/C(=C(/C(=O)C)\C=C\[C@@H]1C(=CN2[C@H]([C@@]31C(=O)Nc1c3cccc1)c1ccccc1C2)N(=O)=O)/O
SATGED,O=N(=O)C1=CN2Cc3c([C@H]2[C@@H]([C@@H]1/C=C/C1=C(C)ON=C1C)C(=O)c1ccccc1)cccc3
SATNAG,C=C[C@@H]1[C@H]2[C@H](C=C)C[C@H]3[C@]2([C@@H](C1(C)C)OC(=O)c1ccc(cc1N(=O)=O)N(=O)=O)CC=C3
SATNEK,C=CCC1(CC=C)C[C@@H]2[C@@]([C@@H]1OC(=O)c1ccc(cc1)N(=O)=O)(CC=C)[C@@H]1C[C@H]2C=C1
SATPAI,CCC[C@]12CCC[C@H]1[C@H]1[C@]3([C@H]2OC(=O)c2ccc(cc2)N(=O)=O)CCC[C@@H]3C[C@@H]1CC
SAVCIF,O=C1C=C[C@H]2[C@@H]1[C@@H](O)c1c(O2)ccc(c1)N(=O)=O
SAVCOL,O=N(=O)[C@H]1[C@H]2C=CC(=O)[C@H]2[C@@H]1c1ccc2c(c1)cccc2
