ccdc_id,Calc. Density,Cell Volume,CHIRAL SMILES,Space Gp. Number
CAMMEI,1.244,1983.268,O=C(c1ccc(cc1)N(=O)=O)OC[C@@H]([C@]12CCC[C@]3([C@@H]2CC[C@]3(C1)C)C)C,4
CAMMEI10,1.244,1983.268,O=C(c1ccc(cc1)N(=O)=O)OC[C@@H]([C@]12CCC[C@]3([C@@H]2CC[C@]3(C1)C)C)C,4
BIGNIR,1.325,1941.467,O=C1O[C@@]2([C@@H]3[C@]1(CCCC([C@H]3CC2)(C)C)OC(=O)c1ccc(cc1)N(=O)=O)C,1
BIXQEH,1.291,5417.085,O=C(N([C@H]([C@H](c1ccc(cc1)N(=O)=O)C(C)C)C(=O)Nc1cccc2c1nccc2)C)OCc1ccccc1,20
BUTQAK,1.33,1714.406,O=C(c1ccccc1N(=O)=O)OCC(=O)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3,2
CAKPUB,1.561,477.009,CONc1nc(nc2N(C)C=Nc12)N(=O)=O,2
BUYPAN,1.17,8388.335,CCCCOc1c2Cc3cccc(Cc4cc(cc(Cc5cc(cc(Cc1ccc2)c5OCCCC)N(=O)=O)c4OCCCC)N(=O)=O)c3OCCCC,14
BANYOF,1.348,2960.664,CC(C)(Cc1ccccc1N=N(=O)c1ccccc1CC(C)(C)N(=O)=O)N(=O)=O,14
BECJOI,1.412,734.576,O=NC1(CC1)C1(CC1)N(=O)=O,15
DISLIA,1.509,1753.194,O=C1c2cc(cc(c2c2c1cc(cc2N(=O)=O)N(=O)=O)N(=O)=O)N1CCCCC1,14
CUCDOV,1.333,977.85,O=C(OCc1c(N(=O)=O)cccc1)O[C@@H](C)[C@H]2C(N3[C@@H]2[C@@H](COC3(C)C)C)=O,2
ECIVAO,1.472,2253.94,CCOc1ccccc1NC(=O)C1=Cc2ccccc2/C(=N/Nc2ccc(cc2N(=O)=O)C(=O)N)/C1=O,19
DUQBID,1.285,2505.041,O=N([C@@H]1[C@@H](N[C@]2(c3c(c(c2n4)nc5c4cccc5)cccc3)[C@@H]1c6ccccc6)Cc7ccccc7)=O,2
DEXDUH,1.235,2164.484,CCCCC[C@@H]([C@H]1[C@@H]2C=C[C@@H](C[C@@H]2CN1C(=O)c1ccc(cc1)N(=O)=O)CO)O,19
