refcode,mlp_method,gaff_method,status,mlp_energy_kJ_mol,gaff_energy_kJ_mol,mlp_rmsd,gaff_rmsd,mlp_max_abs_stress_GPa,gaff_max_abs_stress_GPa,mlp_status,gaff_status
ABAVUW,mace,gaff_mace,ok,-19295.465347058747,-19297.112544648753,0.06697082,0.08030210,0.176633875403,0.0390833352548,match,match
ABAVUW,maceoff,gaff_maceoff,ok,-20366.108529,-20366.0777155,0.03865988,0.05783374,0.0276940305081,0.0358682123551,match,match
ABAVUW,uma,gaff_uma,ok,-19276.068683650003,-19273.823132272828,0.00853101,0.05956924,0.109048626879,0.0294712654835,match,match
ABAWAD,mace,gaff_mace,missing_energy,,,,,,,missing_relaxed,missing_relaxed
ABAWAD,maceoff,gaff_maceoff,ok,-21529.59834725,-21529.60081275,0.03371263,0.05256461,0.0377761232229,0.0337498282423,match,match
ABAWAD,uma,gaff_uma,ok,-23468.770310603526,-23468.25162957937,0.01116933,0.04785089,,0.0185130913149,match,match
ABAWEH,mace,gaff_mace,ok,-25086.887607451874,-25087.828242954743,0.10165328,0.12934626,0.151853628537,0.0300637023113,match,match
ABAWEH,maceoff,gaff_maceoff,ok,-27098.313177,-27098.2886345,0.02949971,0.06274353,0.166020092694,0.0273468004893,match,match
ABAWEH,uma,gaff_uma,ok,-24969.27107098291,-24967.37947604664,0.01010037,0.07493443,,,match,match
ABEJOH,mace,gaff_mace,ok,-14756.511994800934,-14756.077955534376,0.06609292,0.06165563,0.14624309529,0.044153362923,match,match
ABEJOH,maceoff,gaff_maceoff,ok,-28999.31492125,-28999.31648925,0.07662749,0.11857657,0.0311271799109,0.0464146830639,match,match
ABEJOH,uma,gaff_uma,ok,-14640.434544107342,-14638.238634433546,0.02523442,0.06987652,0.157313791049,0.0448821769813,match,match
ABEKUO,mace,gaff_mace,ok,-23564.51017292951,-23569.976477056956,0.15286347,0.12714415,0.028213668496,0.0292560051671,match,match
ABEKUO,maceoff,gaff_maceoff,ok,-27465.542232,-27465.429883,0.04271828,0.10792748,0.0322587183301,0.0325321231449,match,match
ABEKUO,uma,gaff_uma,ok,-23512.77300110902,-23506.610579431635,0.01275219,0.11114250,,0.0323209793246,match,match
ABELID,mace,gaff_mace,ok,-21687.269045934867,-21692.763137837966,0.09660114,0.09898560,0.144693178113,0.0183516554035,match,match
ABELID,maceoff,gaff_maceoff,ok,-25925.35426125,-25925.332015,0.04856054,0.10254226,0.157310425967,0.0332581616362,match,match
ABELID,uma,gaff_uma,ok,-21651.296757258002,-21623.762955121972,0.00961208,,,0.0293584897625,match,error: StructureMatcher did not find a match
ABENAX,mace,gaff_mace,ok,-14959.169979363378,-14952.612522614947,,0.28524510,0.139857953175,0.0259173346329,error: StructureMatcher did not find a match,mismatch
ABENAX,maceoff,gaff_maceoff,ok,-25715.93911775,-25715.924397,0.10165721,,0.155737353957,0.0263184628272,match,error: StructureMatcher did not find a match
ABENAX,uma,gaff_uma,ok,-14870.540555345555,-14866.69807523641,0.02954467,,,0.0298213759151,match,error: StructureMatcher did not find a match
ABENUQ,mace,gaff_mace,ok,-17067.238345453858,-17066.685388015456,0.12202400,0.08085294,0.176245246692,0.024754059751,match,match
ABENUQ,maceoff,gaff_maceoff,ok,-25242.3302125,-25242.3278515,0.01269517,0.06182610,,0.0350497027126,timeout_match,match
ABENUQ,uma,gaff_uma,ok,-17001.556100338916,-17000.989972652686,0.03118452,0.03038272,,,match,match
ABEPED,mace,gaff_mace,ok,-14904.460721614825,-14891.894278988422,0.21827913,,0.189117145878,0.104181143668,timeout_match,error: StructureMatcher did not find a match
ABEPED,maceoff,gaff_maceoff,ok,-20108.241725,-20108.22578,0.01259474,0.09765480,,0.0513923454583,timeout_match,match
ABEPED,uma,gaff_uma,ok,-14857.307181982183,-14853.429339998816,0.05447491,0.10044568,,0.0883482167543,match,match
ABEPON,mace,gaff_mace,ok,-22495.048057641754,-22496.743015471162,0.10118187,,0.152559561512,0.0252324502046,match,error: StructureMatcher did not find a match
ABEPON,maceoff,gaff_maceoff,ok,-28440.9066335,-28440.9341335,0.05419711,0.10466894,,0.0280970555172,timeout_match,match
ABEPON,uma,gaff_uma,ok,-22415.490980554154,-22415.521855860436,0.01336016,0.09163931,,,match,match
ABEQAD,mace,gaff_mace,ok,-21185.059418761135,-21185.48834430509,0.10741095,,0.11534857694,0.0224090074107,match,error: StructureMatcher did not find a match
ABEQAD,maceoff,gaff_maceoff,ok,-26466.013036,-26466.008278,0.04277171,0.04938425,,0.0263324099041,timeout_match,match
ABEQAD,uma,gaff_uma,ok,-21102.311523497552,-21102.58448050213,0.01728172,0.05254951,,,match,match
